iso,country,market_role,article6_framework,dna_appointed,domestic_carbon_market,bilateral_agreements,blue_carbon_ndc,article6_authorization,itmos_issued,active_blue_carbon_projects,project_activity
IDN,Indonesia,Host Country,Operational,Implemented,Operational,Implemented,Implemented,In Development,No Data,Implemented,Active
VNM,Viet Nam,Host Country,In Development,Implemented,In Development,In Development,Implemented,In Development,No Data,Implemented,Active
PHL,Philippines,Host Country,In Development,Implemented,In Development,In Development,In Development,In Development,No Data,Implemented,Active
KOR,Republic of Korea,Buyer / Host,Implemented,Implemented,Operational,Implemented,Not Available,Implemented,Implemented,In Development,Active
JPN,Japan,Buyer / Host,Implemented,Implemented,Operational,Implemented,Not Available,Implemented,Implemented,In Development,Active
KEN,Kenya,Host Country,In Development,Implemented,In Development,In Development,Implemented,In Development,No Data,Not Available,Active
AUS,Australia,Host Country,Implemented,Implemented,Operational,In Development,Implemented,Implemented,Implemented,Implemented,Active
BRA,Brazil,Host Country,In Development,Implemented,In Development,In Development,Implemented,In Development,No Data,Not Available,Active
MEX,Mexico,Host Country,In Development,Implemented,Operational,In Development,Implemented,In Development,No Data,Not Available,Active
CHL,Chile,Host Country,In Development,Implemented,Operational,Implemented,Implemented,In Development,No Data,Not Available,Active
