date,type,headline,country
2025-11-14,POLICY,Indonesia submits Second NDC with new blue carbon targets,Indonesia
2025-11-12,REGULATION,Article 6 authorization framework update,Indonesia
2025-11-10,AGREEMENT,Indonesia–Singapore Article 6 implementation arrangement signed,Indonesia
2025-11-07,MARKET,Voluntary carbon market shows signs of stabilization in Q4 2025,Global
2025-11-05,PROJECT,Wakatobi Seagrass Restoration advances to validation stage,Indonesia
2025-10-30,MARKET,Vietnam Carbon Market pilot phase update published,Viet Nam
2025-10-22,METHODOLOGY,Verra opens VM0033 v2 draft for public consultation,Global
2025-10-15,AGREEMENT,Japan and Viet Nam progress Article 6.2 cooperation roadmap,Viet Nam
2025-10-08,POLICY,Kenya Carbon Markets Regulations enter implementation review,Kenya
2025-09-28,PROJECT,Mikoko Pamoja mangrove project completes annual monitoring,Kenya
2025-09-18,REGULATION,Philippines DNA appointment finalized,Philippines
